startIp,endIp,ipVersion,serviceName,serviceUrl,exitNodeType,lastSeen,lastSeenStr,exitNodeRegion,hostname,countryCode,cityName,latitude,longitude
45.133.5.182,45.133.5.182,4,ExpressVPN,https://expressvpn.com,exit_node,1761155649578,2025-10-22T17:54:09.578Z,Australia - Sydney,,AU,Sydney,-33.86785,151.20732
46.183.111.123,46.183.111.123,4,NordVPN,https://nordvpn.com,exit_node,1760809384790,2025-10-18T17:43:04.790Z,uk2741.nordvpn.com,,GB,,,
176.223.173.156,176.223.173.156,4,NordVPN,https://nordvpn.com,exit_node,1760960863814,2025-10-20T11:47:43.814Z,Switzerland #340,,CH,Zurich,47.366667,8.55
5.62.56.128,5.62.56.128,4,Hide My Ass VPN,https://hidemyass.com,vpn_server,1761315119088,2025-10-24T14:11:59.088Z,Jamaica - Montego Bay,,,,,
146.70.190.55,146.70.190.55,4,UltraVPN,https://ultravpn.com/,exit_node,1761144685625,2025-10-22T14:51:25.625Z,,,,,,
185.207.249.190,185.207.249.190,4,NordVPN,https://nordvpn.com,exit_node,1758389505285,2025-09-20T17:31:45.285Z,United States #8283,,US,Denver,39.7391667,-104.9841667
194.35.233.33,194.35.233.33,4,NordVPN,https://nordvpn.com,vpn_server,1761315177504,2025-10-24T14:12:57.504Z,United Kingdom #2085,,,,,
69.167.30.253,69.167.30.253,4,Giganews,https://giganews.com,vpn_server,1761315176215,2025-10-24T14:12:56.215Z,USA - Seattle,,,,,
185.242.6.52,185.242.6.52,4,Surfshark,https://surfshark.com,exit_node,1760601813377,2025-10-16T08:03:33.377Z,cz-prg.prod.surfshark.com_udp.ovpn,,CZ,prague,50.08804,14.42076
92.118.63.192,92.118.63.192,4,NordVPN,https://nordvpn.com,exit_node,1756883631218,2025-09-03T07:13:51.218Z,bg62.nordvpn.com,,BG,,,
89.249.74.188,89.249.74.188,4,Trust.Zone,https://trust.zone,vpn_server,1761315119763,2025-10-24T14:11:59.763Z,United-Kingdom-Manchester,,,,,
149.88.17.211,149.88.17.211,4,NordVPN,https://nordvpn.com,vpn_server,1761230810594,2025-10-23T14:46:50.594Z,"Miami, United States",us10441.nordvpn.com,,,,
188.241.177.229,188.241.177.229,4,ProtonVPN,https://protonvpn.com,exit_node,1760879148171,2025-10-19T13:05:48.171Z,,,,,,
128.90.148.7,128.90.148.7,4,VyperVPN,https://vypervpn.com,exit_node,1760965784965,2025-10-20T13:09:44.965Z,,,,,,
185.147.214.31,185.147.214.31,4,IPVanish,https://ipvanish.com,exit_node,1757016002702,2025-09-04T20:00:02.702Z,,,,,,
198.145.237.120,198.145.237.120,4,Hotspot Shield,https://www.hotspotshield.com,exit_node,1756724059865,2025-09-01T10:54:19.865Z,,,,,,
208.85.21.129,208.85.21.129,4,VPN Unlimited,https://vpnunlimitedapp.com,vpn_server,1761315119848,2025-10-24T14:11:59.848Z,es,,,,,
193.37.254.30,193.37.254.30,4,AirVPN,https://airvpn.org,vpn_server,1761230810588,2025-10-23T14:46:50.588Z,"Phoenix Arizona, United States",us4.vpn.airdns.org,,,,
45.76.219.34,45.76.219.34,4,TunnelBear,https://tunnelbear.com,exit_node,1761328351984,2025-10-24T17:52:31.984Z,,,,,,
62.133.47.12,62.133.47.12,4,Private Internet Access,https://privateinternetaccess.com,exit_node,1761307751815,2025-10-24T12:09:11.815Z,kazakhstan,,KZ,,,
149.40.58.197,149.40.58.197,4,PureVPN,https://purevpn.com,vpn_server,1761230810596,2025-10-23T14:46:50.596Z,"Houston, United States",ustx2-auto-udp.ptoserver.com,,,,
