ipVersion,startIp,endIp,datacenter,domain
6,2a0a:4940:83ec:0:0:0:0:0,2a0a:4940:83ec:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2a0a:4940:7229:0:0:0:0:0,2a0a:4940:7229:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2804:1570:0:0:0:0:0:0,2804:1570:ffff:ffff:ffff:ffff:ffff:ffff,PAM Pepe Antenas Telecom. e Multimida Ltda ME,www.dwhost.com.br
6,2a0a:4940:a5ef:0:0:0:0:0,2a0a:4940:a5ef:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2407:8580:0:0:0:0:0:0,2407:8580:ffff:ffff:ffff:ffff:ffff:ffff,Cactus Network Solutions (CNS) Pvt Ltd,cactuspk.com
6,2a0a:4940:1cbe:0:0:0:0:0,2a0a:4940:1cbe:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2a01:4f8:121:11f5:0:0:0:0,2a01:4f8:121:11f5:ffff:ffff:ffff:ffff,Timme Hosting GmbH & Co. KG,hetzner.com
6,2a0a:4940:1f49:0:0:0:0:0,2a0a:4940:1f49:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2a01:4f8:10b:170:0:0:0:0,2a01:4f8:10b:170:ffff:ffff:ffff:ffff,FastVPS Eesti O�,fastvps.hosting
6,2a01:4f8:190:2184:0:0:0:0,2a01:4f8:190:2184:ffff:ffff:ffff:ffff,Timme Hosting GmbH & Co. KG,hetzner.com
6,2a0a:4940:83b0:0:0:0:0:0,2a0a:4940:83b0:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2a0a:4940:5e39:0:0:0:0:0,2a0a:4940:5e39:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2a02:f90:0:211b:0:0:0:0,2a02:f90:0:211b:ffff:ffff:ffff:ffff,LEW TelNet GmbH,telnet.lew.de
6,2a0a:4940:e711:0:0:0:0:0,2a0a:4940:e711:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2a0a:4940:5d29:0:0:0:0:0,2a0a:4940:5d29:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2a0a:4940:baae:0:0:0:0:0,2a0a:4940:baae:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2a0a:4940:fec:0:0:0:0:0,2a0a:4940:fec:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2a0a:4940:2365:0:0:0:0:0,2a0a:4940:2365:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2a0a:4940:b42c:0:0:0:0:0,2a0a:4940:b42c:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2a0a:4940:1372:0:0:0:0:0,2a0a:4940:1372:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2a0a:4940:6a83:0:0:0:0:0,2a0a:4940:6a83:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2a0a:4940:a106:0:0:0:0:0,2a0a:4940:a106:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2a0a:4940:104f:0:0:0:0:0,2a0a:4940:104f:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2a09:2dc0:0:0:0:0:0:0,2a09:2dc7:ffff:ffff:ffff:ffff:ffff:ffff,Virtual Systems LLC,vsys.host
6,2a0a:4940:d67e:0:0:0:0:0,2a0a:4940:d67e:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2a0a:4940:153f:0:0:0:0:0,2a0a:4940:153f:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2a0a:4940:ed8b:0:0:0:0:0,2a0a:4940:ed8b:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
