startIp,endIp,ipVersion,serviceName,serviceUrl
179.61.228.0,179.61.228.255,4,Private Internet Access,https://privateinternetaccess.com
5.62.62.204,5.62.62.207,4,Hide My Ass VPN,https://hidemyass.com
103.214.47.64,103.214.47.127,4,NordVPN,https://nordvpn.com
181.215.182.0,181.215.182.255,4,Private Internet Access,https://privateinternetaccess.com
185.52.138.0,185.52.138.255,4,Hotspot Shield,https://www.hotspotshield.com
45.83.144.0,45.83.145.255,4,ProtonVPN,https://protonvpn.com
5.62.62.148,5.62.62.151,4,Hide My Ass VPN,https://hidemyass.com
5.62.60.172,5.62.60.175,4,Hide My Ass VPN,https://hidemyass.com
93.127.170.0,93.127.171.255,4,ExpressVPN,https://expressvpn.com
45.130.105.0,45.130.105.255,4,NordVPN,https://nordvpn.com
45.130.203.128,45.130.203.255,4,ExpressVPN,https://expressvpn.com
149.36.48.0,149.36.51.255,4,Shared VPN Network with 4 known VPN providers,
179.61.240.0,179.61.240.255,4,Private Internet Access,https://privateinternetaccess.com
185.195.233.0,185.195.233.255,4,MullvadVPN,https://mullvad.net
5.62.60.0,5.62.61.255,4,Hide My Ass VPN,https://hidemyass.com
154.16.44.0,154.16.44.255,4,Hotspot Shield,https://www.hotspotshield.com
81.199.26.0,81.199.27.255,4,ExpressVPN,https://expressvpn.com
143.244.56.0,143.244.57.255,4,Shared VPN Network with 2 known VPN providers,
185.198.191.160,185.198.191.167,4,Surfshark,https://surfshark.com
194.113.66.0,194.113.66.255,4,NordVPN,https://nordvpn.com
191.101.61.0,191.101.61.255,4,Shared VPN Network with 2 known VPN providers,
138.199.10.0,138.199.11.255,4,Shared VPN Network with 2 known VPN providers,
138.199.39.0,138.199.39.255,4,Private Internet Access,https://privateinternetaccess.com
136.144.35.0,136.144.35.255,4,ExpressVPN,https://expressvpn.com
79.142.76.0,79.142.77.255,4,Shared VPN Network with 3 known VPN providers,
146.70.137.0,146.70.137.255,4,TorGuard,https://torguard.net
212.102.63.0,212.102.63.255,4,Shared VPN Network with 2 known VPN providers,
81.22.39.0,81.22.39.255,4,NordVPN,https://nordvpn.com
185.65.50.0,185.65.50.255,4,NordVPN,https://nordvpn.com
185.141.119.0,185.141.119.255,4,Shared VPN Network with 2 known VPN providers,
95.173.217.0,95.173.217.255,4,ProtonVPN,https://protonvpn.com
94.156.204.0,94.156.207.255,4,NordVPN,https://nordvpn.com
5.154.174.0,5.154.174.255,4,Shared VPN Network with 3 known VPN providers,
84.17.35.0,84.17.35.207,4,Surfshark,https://surfshark.com
213.152.161.185,213.152.161.255,4,AirVPN,https://airvpn.org
37.120.217.0,37.120.217.255,4,Shared VPN Network with 3 known VPN providers,
193.160.101.0,193.160.101.255,4,NordVPN,https://nordvpn.com
185.172.52.0,185.172.55.255,4,NordVPN,https://nordvpn.com
160.238.37.0,160.238.37.255,4,NordVPN,https://nordvpn.com
103.50.32.0,103.50.33.255,4,Shared VPN Network with 4 known VPN providers,
92.249.29.0,92.249.29.255,4,Hotspot Shield,https://www.hotspotshield.com
85.190.228.0,85.190.255.255,4,Shared VPN Network with 2 known VPN providers,
45.10.155.0,45.10.155.255,4,NordVPN,https://nordvpn.com
45.152.180.0,45.152.183.255,4,Shared VPN Network with 3 known VPN providers,
89.37.173.0,89.37.173.255,4,Shared VPN Network with 2 known VPN providers,
84.17.35.224,84.17.35.255,4,NordVPN,https://nordvpn.com
91.148.239.176,91.148.239.191,4,Privado,https://privado.com
45.131.193.0,45.131.193.255,4,ExpressVPN,https://expressvpn.com
5.62.60.144,5.62.60.147,4,Hide My Ass VPN,https://hidemyass.com
103.25.57.1,103.25.57.255,4,ProtonVPN,https://protonvpn.com
193.56.252.0,193.56.255.255,4,Shared VPN Network with 3 known VPN providers,
45.155.40.0,45.155.40.255,4,NordVPN,https://nordvpn.com
37.120.143.0,37.120.143.255,4,Shared VPN Network with 3 known VPN providers,
84.239.25.0,84.239.25.127,4,Private Internet Access,https://privateinternetaccess.com
94.229.75.80,94.229.75.87,4,NordVPN,https://nordvpn.com
37.120.235.0,37.120.235.255,4,Shared VPN Network with 4 known VPN providers,
5.62.63.24,5.62.63.27,4,Hide My Ass VPN,https://hidemyass.com
103.108.231.0,103.108.231.255,4,Shared VPN Network with 2 known VPN providers,
5.62.60.44,5.62.60.47,4,Hide My Ass VPN,https://hidemyass.com
91.199.118.56,91.199.118.63,4,Surfshark,https://surfshark.com
185.206.225.0,185.206.225.255,4,Shared VPN Network with 4 known VPN providers,
191.96.168.0,191.96.168.255,4,Shared VPN Network with 2 known VPN providers,
45.85.248.0,45.85.248.255,4,NordVPN,https://nordvpn.com
37.19.206.0,37.19.207.255,4,Shared VPN Network with 2 known VPN providers,
103.137.14.0,103.137.14.255,4,Shared VPN Network with 2 known VPN providers,
84.247.105.0,84.247.105.255,4,Shared VPN Network with 2 known VPN providers,
5.62.63.212,5.62.63.215,4,Hide My Ass VPN,https://hidemyass.com
91.242.248.0,91.242.248.255,4,NordVPN,https://nordvpn.com
209.107.216.192,209.107.216.255,4,IPVanish,https://ipvanish.com
45.86.203.0,45.86.203.255,4,ExpressVPN,https://expressvpn.com
146.70.113.0,146.70.113.255,4,ProtonVPN,https://protonvpn.com
91.90.120.0,91.90.127.255,4,Shared VPN Network with 8 known VPN providers,
146.70.211.0,146.70.211.255,4,MullvadVPN,https://mullvad.net
37.120.246.0,37.120.246.255,4,MullvadVPN,https://mullvad.net
84.239.27.0,84.239.27.127,4,Private Internet Access,https://privateinternetaccess.com
212.32.84.0,212.32.84.255,4,NordVPN,https://nordvpn.com
86.62.29.0,86.62.29.255,4,NordVPN,https://nordvpn.com
178.212.32.0,178.212.32.255,4,NordVPN,https://nordvpn.com
79.127.134.0,79.127.134.255,4,ProtonVPN,https://protonvpn.com
5.62.60.164,5.62.60.167,4,Hide My Ass VPN,https://hidemyass.com
87.120.102.160,87.120.102.175,4,NordVPN,https://nordvpn.com
82.102.25.0,82.102.25.255,4,Shared VPN Network with 3 known VPN providers,
118.99.2.0,118.99.2.255,4,Surfshark,https://surfshark.com
146.70.161.0,146.70.161.255,4,Shared VPN Network with 2 known VPN providers,
46.183.111.0,46.183.111.255,4,NordVPN,https://nordvpn.com
5.62.61.100,5.62.61.103,4,Hide My Ass VPN,https://hidemyass.com
5.62.58.84,5.62.58.87,4,Hide My Ass VPN,https://hidemyass.com
103.27.228.0,103.27.228.127,4,VyperVPN,https://vypervpn.com
103.219.21.40,103.219.21.47,4,Surfshark,https://surfshark.com
64.238.203.0,64.238.204.255,4,Shared VPN Network with 2 known VPN providers,
45.85.251.0,45.85.251.255,4,NordVPN,https://nordvpn.com
85.203.22.32,85.203.22.47,4,ExpressVPN,https://expressvpn.com
94.140.9.0,94.140.9.255,4,NordVPN,https://nordvpn.com
5.62.34.40,5.62.34.47,4,Hide My Ass VPN,https://hidemyass.com
185.222.243.0,185.222.243.255,4,NordVPN,https://nordvpn.com
146.70.192.0,146.70.192.255,4,Shared VPN Network with 2 known VPN providers,
116.90.75.0,116.90.75.255,4,Shared VPN Network with 2 known VPN providers,
85.203.0.0,85.203.63.255,4,Shared VPN Network with 3 known VPN providers,
194.195.91.0,194.195.91.255,4,ExpressVPN,https://expressvpn.com
37.120.213.0,37.120.213.255,4,Shared VPN Network with 4 known VPN providers,
84.239.31.0,84.239.31.127,4,Private Internet Access,https://privateinternetaccess.com
193.32.126.0,193.32.127.255,4,MullvadVPN,https://mullvad.net
37.120.237.0,37.120.237.255,4,Shared VPN Network with 3 known VPN providers,
5.62.60.140,5.62.60.143,4,Hide My Ass VPN,https://hidemyass.com
62.182.98.0,62.182.99.255,4,NordVPN,https://nordvpn.com
78.31.207.0,78.31.207.255,4,Hotspot Shield,https://www.hotspotshield.com
5.62.58.232,5.62.58.235,4,Hide My Ass VPN,https://hidemyass.com
178.238.10.240,178.238.10.247,4,Surfshark,https://surfshark.com
37.46.113.0,37.46.113.255,4,Shared VPN Network with 3 known VPN providers,
5.62.57.20,5.62.57.23,4,Hide My Ass VPN,https://hidemyass.com
5.62.61.144,5.62.61.147,4,Hide My Ass VPN,https://hidemyass.com
5.62.60.176,5.62.60.179,4,Hide My Ass VPN,https://hidemyass.com
82.102.16.0,82.102.23.255,4,Shared VPN Network with 12 known VPN providers,
191.101.217.0,191.101.217.255,4,Shared VPN Network with 2 known VPN providers,
5.62.63.80,5.62.63.83,4,Hide My Ass VPN,https://hidemyass.com
5.62.63.192,5.62.63.195,4,Hide My Ass VPN,https://hidemyass.com
83.229.26.128,83.229.26.255,4,NordVPN,https://nordvpn.com
193.42.99.0,193.42.99.255,4,NordVPN,https://nordvpn.com
185.232.20.0,185.232.23.255,4,Shared VPN Network with 6 known VPN providers,
192.145.38.0,192.145.38.255,4,NordVPN,https://nordvpn.com
130.195.240.0,130.195.243.255,4,ProtonVPN,https://protonvpn.com
45.87.212.0,45.87.212.255,4,Shared VPN Network with 5 known VPN providers,
130.195.216.0,130.195.216.255,4,ProtonVPN,https://protonvpn.com
91.90.122.0,91.90.122.255,4,Shared VPN Network with 2 known VPN providers,
84.239.42.0,84.239.42.63,4,Private Internet Access,https://privateinternetaccess.com
193.9.33.0,193.9.33.255,4,NordVPN,https://nordvpn.com
188.212.135.128,188.212.135.255,4,ExpressVPN,https://expressvpn.com
202.49.186.128,202.49.186.255,4,NordVPN,https://nordvpn.com
37.19.218.0,37.19.218.255,4,Shared VPN Network with 3 known VPN providers,
45.86.211.16,45.86.211.23,4,Surfshark,https://surfshark.com
62.133.44.0,62.133.47.255,4,Shared VPN Network with 3 known VPN providers,
5.62.63.112,5.62.63.115,4,Hide My Ass VPN,https://hidemyass.com
146.70.217.0,146.70.217.255,4,ProtonVPN,https://protonvpn.com
5.62.56.108,5.62.56.111,4,Hide My Ass VPN,https://hidemyass.com
45.13.188.0,45.13.191.255,4,ExpressVPN,https://expressvpn.com
193.34.233.0,193.34.233.255,4,Hotspot Shield,https://www.hotspotshield.com
84.17.41.0,84.17.41.255,4,Shared VPN Network with 3 known VPN providers,
185.205.207.0,185.205.207.255,4,Hotspot Shield,https://www.hotspotshield.com
176.53.179.0,176.53.179.255,4,NordVPN,https://nordvpn.com
185.203.120.0,185.203.122.255,4,NordVPN,https://nordvpn.com
45.83.126.0,45.83.127.255,4,ProtonVPN,https://protonvpn.com
209.20.132.0,209.20.132.255,4,Hotspot Shield,https://www.hotspotshield.com
178.249.211.0,178.249.211.255,4,Shared VPN Network with 2 known VPN providers,
87.120.100.0,87.120.103.255,4,Shared VPN Network with 3 known VPN providers,
86.104.20.0,86.104.21.255,4,NordVPN,https://nordvpn.com
5.62.62.196,5.62.62.199,4,Hide My Ass VPN,https://hidemyass.com
84.239.48.0,84.239.48.127,4,Private Internet Access,https://privateinternetaccess.com
185.225.28.160,185.225.28.175,4,NordVPN,https://nordvpn.com
212.102.34.0,212.102.35.255,4,Shared VPN Network with 3 known VPN providers,
108.171.105.0,108.171.105.63,4,IPVanish,https://ipvanish.com
5.62.63.52,5.62.63.55,4,Hide My Ass VPN,https://hidemyass.com
213.128.71.36,213.128.71.36,4,TorGuard,https://torguard.net
45.9.251.0,45.9.251.255,4,Shared VPN Network with 4 known VPN providers,
45.87.213.0,45.87.213.255,4,Shared VPN Network with 3 known VPN providers,
103.209.254.0,103.209.254.255,4,IPVanish,https://ipvanish.com
5.62.58.56,5.62.58.59,4,Hide My Ass VPN,https://hidemyass.com
45.150.175.0,45.150.175.255,4,NordVPN,https://nordvpn.com
5.101.136.152,5.101.136.155,4,VPN Unlimited,https://vpnunlimitedapp.com
149.22.80.0,149.22.95.255,4,Shared VPN Network with 8 known VPN providers,
188.214.152.0,188.214.152.255,4,Shared VPN Network with 2 known VPN providers,
194.5.154.0,194.5.154.255,4,NordVPN,https://nordvpn.com
79.127.229.0,79.127.229.255,4,Shared VPN Network with 3 known VPN providers,
86.62.30.0,86.62.31.255,4,NordVPN,https://nordvpn.com
194.195.80.0,194.195.95.255,4,Shared VPN Network with 2 known VPN providers,
91.214.67.0,91.214.67.255,4,NordVPN,https://nordvpn.com
192.145.39.0,192.145.39.255,4,NordVPN,https://nordvpn.com
5.62.63.60,5.62.63.63,4,Hide My Ass VPN,https://hidemyass.com
5.62.62.188,5.62.62.191,4,Hide My Ass VPN,https://hidemyass.com
95.214.112.0,95.214.112.255,4,NordVPN,https://nordvpn.com
212.102.58.0,212.102.59.255,4,Shared VPN Network with 2 known VPN providers,
192.253.208.0,192.253.211.255,4,ExpressVPN,https://expressvpn.com
45.83.146.0,45.83.147.255,4,ProtonVPN,https://protonvpn.com
5.62.63.156,5.62.63.159,4,Hide My Ass VPN,https://hidemyass.com
84.239.48.128,84.239.48.255,4,Private Internet Access,https://privateinternetaccess.com
5.62.56.248,5.62.56.251,4,Hide My Ass VPN,https://hidemyass.com
185.187.240.0,185.187.243.255,4,NordVPN,https://nordvpn.com
185.216.201.0,185.216.201.255,4,NordVPN,https://nordvpn.com
87.120.102.0,87.120.102.127,4,NordVPN,https://nordvpn.com
146.70.196.0,146.70.196.255,4,MullvadVPN,https://mullvad.net
92.119.16.32,92.119.16.39,4,Surfshark,https://surfshark.com
80.239.178.32,80.239.178.63,4,PrivateVPN,https://privatevpn.com
5.62.62.52,5.62.62.55,4,Hide My Ass VPN,https://hidemyass.com
185.161.190.0,185.161.190.255,4,Hotspot Shield,https://www.hotspotshield.com
178.238.10.96,178.238.10.103,4,Surfshark,https://surfshark.com
185.173.32.0,185.173.35.255,4,Hotspot Shield,https://www.hotspotshield.com
103.214.44.0,103.214.47.255,4,Shared VPN Network with 3 known VPN providers,
185.198.190.96,185.198.190.103,4,Surfshark,https://surfshark.com
180.149.228.0,180.149.231.255,4,Shared VPN Network with 6 known VPN providers,
146.70.114.0,146.70.114.255,4,Shared VPN Network with 4 known VPN providers,
176.100.43.128,176.100.43.255,4,NordVPN,https://nordvpn.com
212.102.46.0,212.102.46.111,4,Shared VPN Network with 2 known VPN providers,
193.36.225.0,193.36.225.255,4,ExpressVPN,https://expressvpn.com
37.77.56.0,37.77.56.255,4,Shared VPN Network with 3 known VPN providers,
212.102.36.0,212.102.37.255,4,Shared VPN Network with 3 known VPN providers,
185.65.135.0,185.65.135.255,4,MullvadVPN,https://mullvad.net
138.199.43.0,138.199.43.255,4,Shared VPN Network with 3 known VPN providers,
79.127.254.0,79.127.254.255,4,ProtonVPN,https://protonvpn.com
193.187.128.0,193.187.131.255,4,NordVPN,https://nordvpn.com
194.5.48.0,194.5.49.255,4,ExpressVPN,https://expressvpn.com
45.131.192.0,45.131.195.255,4,ExpressVPN,https://expressvpn.com
82.118.29.0,82.118.29.255,4,ExpressVPN,https://expressvpn.com
178.238.10.48,178.238.10.55,4,Surfshark,https://surfshark.com
37.120.153.0,37.120.153.255,4,Shared VPN Network with 4 known VPN providers,
45.129.35.0,45.129.35.255,4,NordVPN,https://nordvpn.com
146.70.123.0,146.70.123.255,4,Shared VPN Network with 3 known VPN providers,
146.70.171.0,146.70.171.255,4,MullvadVPN,https://mullvad.net
185.187.212.0,185.187.215.255,4,Hotspot Shield,https://www.hotspotshield.com
93.115.35.0,93.115.35.255,4,Shared VPN Network with 2 known VPN providers,
45.143.82.0,45.143.82.255,4,NordVPN,https://nordvpn.com
108.171.105.128,108.171.105.191,4,IPVanish,https://ipvanish.com
185.230.125.0,185.230.125.255,4,Shared VPN Network with 2 known VPN providers,
37.120.128.0,37.120.159.255,4,Shared VPN Network with 25 known VPN providers,
64.238.204.128,64.238.204.255,4,NordVPN,https://nordvpn.com
2.56.189.184,2.56.189.191,4,Surfshark,https://surfshark.com
45.146.54.0,45.146.54.255,4,ExpressVPN,https://expressvpn.com
103.214.20.0,103.214.23.255,4,Shared VPN Network with 3 known VPN providers,
