startIp,endIp,ipVersion,serviceName,serviceUrl,exitNodeType,lastSeen,exitNodeRegion
138.199.36.226,138.199.36.226,4,CyberGhost,https://cyberghostvpn.com,exit_node,1727258491468,
2001:df1:800:a000:11::19b0,2001:df1:800:a000:11::19b0,6,AirVPN,https://airvpn.org,vpn_server,1729183492259,"Singapore, Singapore"
31.40.213.170,31.40.213.170,4,NordVPN,https://nordvpn.com,exit_node,1728460051121,
146.70.117.47,146.70.117.47,4,MullvadVPN,https://mullvad.net,exit_node,1728056830418,de-fra-wg-106
31.13.191.94,31.13.191.94,4,ProtonVPN,https://protonvpn.com,exit_node,1729197693675,
185.111.109.2,185.111.109.2,4,ProtonVPN,https://protonvpn.com,exit_node,1729197693661,
193.32.248.73,193.32.248.73,4,MullvadVPN,https://mullvad.net,vpn_server,1729181479218,
45.129.35.50,45.129.35.50,4,NordVPN,https://nordvpn.com,exit_node,1726681383083,
193.29.107.170,193.29.107.170,4,ProtonVPN,https://protonvpn.com,exit_node,1729197693674,
138.199.30.170,138.199.30.170,4,Private Internet Access,https://privateinternetaccess.com,vpn_server,1729181479220,
194.5.82.61,194.5.82.61,4,ExpressVPN,https://expressvpn.com,exit_node,1728492497789,Singapore - CBD
103.163.220.70,103.163.220.70,4,ExpressVPN,https://expressvpn.com,exit_node,1728423195492,Japan - Tokyo
91.214.64.72,91.214.64.72,4,NordVPN,https://nordvpn.com,exit_node,1729181525475,
95.181.237.24,95.181.237.24,4,Private Internet Access,https://privateinternetaccess.com,vpn_server,1729181479220,
146.70.58.131,146.70.58.131,4,ProtonVPN,https://protonvpn.com,exit_node,1729197693670,
2a0d:5600:75:25:710:4ad1:8bb8:162d,2a0d:5600:75:25:710:4ad1:8bb8:162d,6,AirVPN,https://airvpn.org,vpn_server,1729183492259,"Sao Paulo, Brazil"
103.192.80.131,103.192.80.131,4,Surfshark,https://surfshark.com,vpn_server,1729181362596,
195.158.249.173,195.158.249.173,4,NordVPN,https://nordvpn.com,exit_node,1728892109308,Ljubljana
102.165.16.19,102.165.16.19,4,Private Internet Access,https://privateinternetaccess.com,exit_node,1728383484991,US East Streaming Optimized
45.155.64.2,45.155.64.2,4,ExpressVPN,https://expressvpn.com,exit_node,1728871725711,France - Marseille
2a02:6ea0:ce08:3::a07f,2a02:6ea0:ce08:3::a07f,6,MullvadVPN,https://mullvad.net,vpn_server,1729181479218,
154.16.81.167,154.16.81.167,4,Private Internet Access,https://privateinternetaccess.com,vpn_server,1729183687991,
5.180.62.135,5.180.62.135,4,NordVPN,https://nordvpn.com,exit_node,1729197693653,
193.142.203.246,193.142.203.246,4,NordVPN,https://nordvpn.com,exit_node,1726681383055,
92.119.17.117,92.119.17.117,4,NordVPN,https://nordvpn.com,exit_node,1729197693654,
185.219.140.47,185.219.140.47,4,NordVPN,https://nordvpn.com,vpn_server,1729181479219,
192.241.211.121,192.241.211.121,4,TunnelBear,https://tunnelbear.com,vpn_server,1729181371211,
89.249.74.217,89.249.74.217,4,AirVPN,https://airvpn.org,vpn_server,1729183492259,"Manchester, United Kingdom"
185.76.9.44,185.76.9.44,4,Surfshark,https://surfshark.com,vpn_server,1729181479222,
86.107.104.98,86.107.104.98,4,TorGuard,https://torguard.net,vpn_server,1729181479222,
128.90.168.9,128.90.168.9,4,VyprVPN,https://vyprvpn.com,exit_node,1729181319817,
185.230.125.11,185.230.125.11,4,ProtonVPN,https://protonvpn.com,exit_node,1729197693675,
165.231.178.23,165.231.178.23,4,ProtonVPN,https://protonvpn.com,exit_node,1729197693661,
84.239.52.21,84.239.52.21,4,Private Internet Access,https://privateinternetaccess.com,vpn_server,1729181479220,
85.190.232.124,85.190.232.124,4,NordVPN,https://nordvpn.com,exit_node,1729197693657,
2001:ac8:20:2a:818d:602e:cf31:f199,2001:ac8:20:2a:818d:602e:cf31:f199,6,AirVPN,https://airvpn.org,vpn_server,1729183492259,"Frankfurt, Germany"
45.14.195.70,45.14.195.70,4,NordVPN,https://nordvpn.com,exit_node,1728847706702,Buffalo
109.236.62.217,109.236.62.217,4,NordVPN,https://nordvpn.com,exit_node,1728837056267,
216.131.106.186,216.131.106.186,4,IPVanish,https://ipvanish.com,exit_node,1725103455762,msy-c24.ipvanish.com
45.86.200.52,45.86.200.52,4,ExpressVPN,https://expressvpn.com,exit_node,1728509438482,Netherlands - The Hague
45.248.77.123,45.248.77.123,4,NordVPN,https://nordvpn.com,exit_node,1729197693655,
104.234.212.97,104.234.212.97,4,ProtonVPN,https://protonvpn.com,exit_node,1729197693674,
149.34.244.184,149.34.244.184,4,ProtonVPN,https://protonvpn.com,exit_node,1729197693651,
185.153.176.235,185.153.176.235,4,NordVPN,https://nordvpn.com,exit_node,1729197693654,
45.85.248.126,45.85.248.126,4,NordVPN,https://nordvpn.com,exit_node,1729181525475,
45.67.99.15,45.67.99.15,4,ExpressVPN,https://expressvpn.com,exit_node,1728884943152,Spain - Barcelona - 2
103.69.224.15,103.69.224.15,4,ProtonVPN,https://protonvpn.com,exit_node,1729197693675,
179.61.240.42,179.61.240.42,4,Private Internet Access,https://privateinternetaccess.com,vpn_server,1729183687991,
188.126.94.42,188.126.94.42,4,Private Internet Access,https://privateinternetaccess.com,vpn_server,1729183687991,
216.131.80.27,216.131.80.27,4,IPVanish,https://ipvanish.com,vpn_server,1729181479218,
2a00:1678:2470:3:dbe1:c320:4986:a891,2a00:1678:2470:3:dbe1:c320:4986:a891,6,AirVPN,https://airvpn.org,vpn_server,1729183492259,"Alblasserdam, Netherlands"
95.181.234.20,95.181.234.20,4,Private Internet Access,https://privateinternetaccess.com,vpn_server,1729183687991,
146.70.45.232,146.70.45.232,4,ProtonVPN,https://protonvpn.com,exit_node,1729197693671,
216.131.77.166,216.131.77.166,4,IPVanish,https://ipvanish.com,exit_node,1725295652197,chi-b55.ipvanish.com
103.137.15.19,103.137.15.19,4,NordVPN,https://nordvpn.com,exit_node,1729197693653,
45.133.7.67,45.133.7.67,4,ExpressVPN,https://expressvpn.com,exit_node,1728449455576,New Zealand
86.104.20.172,86.104.20.172,4,NordVPN,https://nordvpn.com,exit_node,1729181525451,
37.235.55.43,37.235.55.43,4,OctaneVPN,https://octanevpn.com,vpn_server,1729181291320,
185.213.82.134,185.213.82.134,4,NordVPN,https://nordvpn.com,exit_node,1729197693656,
136.144.17.109,136.144.17.109,4,ExpressVPN,https://expressvpn.com,exit_node,1728336513567,Canada - Toronto
146.70.182.38,146.70.182.38,4,ProtonVPN,https://protonvpn.com,exit_node,1729197693671,
146.70.38.68,146.70.38.68,4,CyberGhost,https://cyberghostvpn.com,vpn_server,1729180865346,Argentina
87.249.133.195,87.249.133.195,4,ProtonVPN,https://protonvpn.com,exit_node,1729197693674,
185.161.202.248,185.161.202.248,4,NordVPN,https://nordvpn.com,exit_node,1728202799363,Hamburg
149.22.95.204,149.22.95.204,4,ProtonVPN,https://protonvpn.com,exit_node,1729197693674,
216.131.117.24,216.131.117.24,4,IPVanish,https://ipvanish.com,vpn_server,1729181479218,
85.190.234.154,85.190.234.154,4,NordVPN,https://nordvpn.com,exit_node,1727878018786,
98.159.226.63,98.159.226.63,4,ExpressVPN,https://expressvpn.com,exit_node,1729103342923,Armenia
82.197.78.3,82.197.78.3,4,NordVPN,https://nordvpn.com,exit_node,1729197693658,
181.214.173.132,181.214.173.132,4,CyberGhost,https://cyberghostvpn.com,vpn_server,1729180867402,Germany
191.101.157.245,191.101.157.245,4,Private Internet Access,https://privateinternetaccess.com,exit_node,1728939589987,DE Germany Streaming Optimized
85.203.20.23,85.203.20.23,4,ExpressVPN,https://expressvpn.com,exit_node,1728315278679,Croatia
151.106.10.132,151.106.10.132,4,CyberGhost,https://cyberghostvpn.com,exit_node,1727263113122,
185.228.3.65,185.228.3.65,4,ExpressVPN,https://expressvpn.com,exit_node,1728853498521,Portugal
95.181.237.37,95.181.237.37,4,Private Internet Access,https://privateinternetaccess.com,vpn_server,1729181479220,
193.37.33.55,193.37.33.55,4,ExpressVPN,https://expressvpn.com,exit_node,1728487998118,USA - Seattle
216.131.81.106,216.131.81.106,4,IPVanish,https://ipvanish.com,vpn_server,1729181478192,
185.147.215.38,185.147.215.38,4,IPVanish,https://ipvanish.com,vpn_server,1729181478191,
185.229.59.254,185.229.59.254,4,NordVPN,https://nordvpn.com,exit_node,1729181525500,
146.70.165.2,146.70.165.2,4,MullvadVPN,https://mullvad.net,vpn_server,1729181479218,
91.90.126.57,91.90.126.57,4,Private Internet Access,https://privateinternetaccess.com,vpn_server,1729181478191,
193.142.203.223,193.142.203.223,4,NordVPN,https://nordvpn.com,exit_node,1728837056267,
185.213.155.174,185.213.155.174,4,MullvadVPN,https://mullvad.net,exit_node,1728939387136,de-fra-ovpn-005
84.239.43.133,84.239.43.133,4,Private Internet Access,https://privateinternetaccess.com,vpn_server,1729181479220,
192.142.227.16,192.142.227.16,4,Private Internet Access,https://privateinternetaccess.com,vpn_server,1729181478191,
