startIp,endIp,ipVersion,asn,abuser_score,route,descr,country,active,org,domain,abuse,type,created,updated,rir
1.0.0.0,1.0.0.255,4,13335,0.014 (Elevated),1.0.0.0/24,"CLOUDFLARENET, US",us,true,"Cloudflare, Inc.",cloudflare.com,abuse@cloudflare.com,hosting,2010-07-14,2017-02-17,ARIN
1.0.4.0,1.0.4.255,4,38803,0.0003 (Very Low),1.0.4.0/24,"GTELECOM-AS-AP Gtelecom Pty Ltd, AU",au,true,Gtelecom Pty Ltd,gtelecom.com.au,support@gtelecom.com.au,isp,,2024-09-18,APNIC
1.0.5.0,1.0.5.255,4,38803,0.0003 (Very Low),1.0.5.0/24,"GTELECOM-AS-AP Gtelecom Pty Ltd, AU",au,true,Gtelecom Pty Ltd,gtelecom.com.au,support@gtelecom.com.au,isp,,2024-09-18,APNIC
1.0.6.0,1.0.6.255,4,38803,0.0003 (Very Low),1.0.6.0/24,"GTELECOM-AS-AP Gtelecom Pty Ltd, AU",au,true,Gtelecom Pty Ltd,gtelecom.com.au,support@gtelecom.com.au,isp,,2024-09-18,APNIC
1.0.7.0,1.0.7.255,4,38803,0.0003 (Very Low),1.0.7.0/24,"GTELECOM-AS-AP Gtelecom Pty Ltd, AU",au,true,Gtelecom Pty Ltd,gtelecom.com.au,support@gtelecom.com.au,isp,,2024-09-18,APNIC
1.0.16.0,1.0.16.255,4,2519,0.0004 (Very Low),1.0.16.0/24,"VECTANT ARTERIA Networks Corporation, JP",jp,true,ARTERIA Networks Corporation,arteria-net.com,,isp,,2019/08/09,JPNIC
1.0.64.0,1.0.127.255,4,18144,0.0005 (Very Low),1.0.64.0/18,"AS-ENECOM Enecom,Inc., JP",jp,true,"Enecom,Inc.",enecom.co.jp,,isp,2002/07/04,2024/01/22,JPNIC
1.0.128.0,1.0.255.255,4,23969,0.0023 (Low),1.0.128.0/17,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.128.0,1.0.191.255,4,23969,0.0023 (Low),1.0.128.0/18,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.128.0,1.0.159.255,4,23969,0.0023 (Low),1.0.128.0/19,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.128.0,1.0.128.255,4,23969,0.0023 (Low),1.0.128.0/24,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.129.0,1.0.129.255,4,23969,0.0023 (Low),1.0.129.0/24,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.130.0,1.0.131.255,4,23969,0.0023 (Low),1.0.130.0/23,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.132.0,1.0.132.255,4,23969,0.0023 (Low),1.0.132.0/24,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.133.0,1.0.133.255,4,23969,0.0023 (Low),1.0.133.0/24,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.136.0,1.0.136.255,4,23969,0.0023 (Low),1.0.136.0/24,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.137.0,1.0.137.255,4,23969,0.0023 (Low),1.0.137.0/24,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.138.0,1.0.138.255,4,23969,0.0023 (Low),1.0.138.0/24,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.139.0,1.0.139.255,4,23969,0.0023 (Low),1.0.139.0/24,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.141.0,1.0.141.255,4,23969,0.0023 (Low),1.0.141.0/24,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.142.0,1.0.143.255,4,23969,0.0023 (Low),1.0.142.0/23,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.144.0,1.0.159.255,4,23969,0.0023 (Low),1.0.144.0/20,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.160.0,1.0.191.255,4,23969,0.0023 (Low),1.0.160.0/19,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.160.0,1.0.163.255,4,23969,0.0023 (Low),1.0.160.0/22,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.164.0,1.0.164.255,4,23969,0.0023 (Low),1.0.164.0/24,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.165.0,1.0.165.255,4,23969,0.0023 (Low),1.0.165.0/24,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.166.0,1.0.166.255,4,23969,0.0023 (Low),1.0.166.0/24,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
