startIp,endIp,ipVersion,company,abuser_score,domain,type,rir,netname,abuseName,abuseAddress,abuseEmail,abusePhone
1.0.0.0,1.255.255.255,4,HOS-1259049,0 (Very Low),hetzner.com,business,RIPE,INVISIMAX-156-159,,,,
1.0.0.0,1.0.0.255,4,dongwan city,0.0234 (Elevated),chinaunicom.cn,business,APNIC,SINGTEL-FIBRE-42-60-53-0,TECH GROUP CNC,"9/F, Building A, Corporate Square, No. 35 Financial Street, Xicheng District, Beijing 100032, P.R.China",zhaoyz3@chinaunicom.cn,+86-10-88093588
1.0.1.0,1.0.1.255,4,CHINANET FUJIAN PROVINCE NETWORK,0.0039 (Low),chinatelecom.cn,isp,APNIC,WANEC-1531,ABUSE CHINANETCN,"No.31 ,jingrong street,beijing, 100032",anti-spam@chinatelecom.cn,+000000000
1.0.2.0,1.0.3.255,4,CHINANET FUJIAN PROVINCE NETWORK,0 (Very Low),chinatelecom.cn,isp,APNIC,WANEC-1531,ABUSE CHINANETCN,"No.31 ,jingrong street,beijing, 100032",anti-spam@chinatelecom.cn,+000000000
1.0.4.0,1.0.4.255,4,Gtelecom Pty Ltd,0 (Very Low),gtelecom.com.au,isp,APNIC,XIANJUXIAN-RENMIN-YIYUAN,ABUSE WPLAU,"1/18 Deblin drive, Narre warren, vic 3805, Melbourne victoria 3805",support@gtelecom.com.au,+000000000
1.0.4.0,1.0.7.255,4,Sri Vari Network Private Limited,0 (Very Low),srivarigroups.com,isp,APNIC,XIANJUXIAN-RENMIN-YIYUAN,IRT-SRIVARI-IN,"54-T5, RajaRajan Nagar, Opp. Chellavel Thirumana Mandapam, Komarapalayam.,Namakkal,Tamil Nadu-638183",abuse@srivarigroups.com,
1.0.5.0,1.0.5.255,4,Gtelecom Pty Ltd,0 (Very Low),gtelecom.com.au,isp,APNIC,XIANJUXIAN-RENMIN-YIYUAN,ABUSE WPLAU,"1/18 Deblin drive, Narre warren, vic 3805, Melbourne victoria 3805",support@gtelecom.com.au,+000000000
1.0.6.0,1.0.6.255,4,Gtelecom Pty Ltd,0 (Very Low),gtelecom.com.au,isp,APNIC,XIANJUXIAN-RENMIN-YIYUAN,ABUSE WPLAU,"1/18 Deblin drive, Narre warren, vic 3805, Melbourne victoria 3805",support@gtelecom.com.au,+000000000
1.0.7.0,1.0.7.255,4,Gtelecom Pty Ltd,0.0078 (Low),gtelecom.com.au,isp,APNIC,XIANJUXIAN-RENMIN-YIYUAN,ABUSE WPLAU,"1/18 Deblin drive, Narre warren, vic 3805, Melbourne victoria 3805",support@gtelecom.com.au,+000000000
1.0.8.0,1.0.15.255,4,CHINANET Guangdong province network,0 (Very Low),chinatelecom.cn,isp,APNIC,ESCAPEUU2,IPMASTER CHINANET-GD,"NO.18,RO. ZHONGSHANER,YUEXIU DISTRIC,GUANGZHOU",anti-spam@chinatelecom.cn,+86-20-87189274
1.0.16.0,1.0.16.255,4,Otsuka Corporaion,0 (Very Low),otsuka.co.jp,business,JPNIC,NAUTILUSMINERALSPACIFIC,,,,
1.0.16.0,1.0.31.255,4,Otsuka Corporaion,0 (Very Low),otsuka.co.jp,business,JPNIC,NHNKCP-KR,,,,
1.0.17.0,1.0.17.255,4,FTIP003453315 IP MASTER,0 (Very Low),bt.com,business,RIPE,NAUTILUSMINERALSPACIFIC,IP MASTER TEAM,"pp HWG298, Virtual Postbox (HOM-NX), PO Box 400, London, N18 1XU, UK",protect@bt.com,+448000850223
1.0.32.0,1.0.63.255,4,CHINANET Guangdong province network,0 (Very Low),chinatelecom.cn,isp,APNIC,ESCAPEUU2,IPMASTER CHINANET-GD,"NO.18,RO. ZHONGSHANER,YUEXIU DISTRIC,GUANGZHOU",anti-spam@chinatelecom.cn,+86-20-87189274
1.0.64.0,1.0.79.255,4,Bell DSL Internet Quebec,0.0007 (Low),bell.ca,isp,ARIN,SMSPL-IN,Bell DSL Internet Quebec,"290 Dorval Avenue, Montreal, QC, H9S 3H3, CA",abuse@bell.ca,+1-877-877-2426
1.0.64.0,1.0.127.255,4,Bell DSL Internet Quebec,0 (Very Low),bell.ca,isp,ARIN,NET-82-39-140-0-24,Bell DSL Internet Quebec,"290 Dorval Avenue, Montreal, QC, H9S 3H3, CA",abuse@bell.ca,+1-877-877-2426
1.0.80.0,1.0.95.255,4,Bell DSL Internet Quebec,0.0007 (Low),bell.ca,isp,ARIN,SMSPL-IN,Bell DSL Internet Quebec,"290 Dorval Avenue, Montreal, QC, H9S 3H3, CA",abuse@bell.ca,+1-877-877-2426
1.0.96.0,1.0.111.255,4,Bell DSL Internet Quebec,0.001 (Low),bell.ca,isp,ARIN,SMSPL-IN,Bell DSL Internet Quebec,"290 Dorval Avenue, Montreal, QC, H9S 3H3, CA",abuse@bell.ca,+1-877-877-2426
1.0.112.0,1.0.127.255,4,Bell DSL Internet Quebec,0.0007 (Low),bell.ca,isp,ARIN,SMSPL-IN,Bell DSL Internet Quebec,"290 Dorval Avenue, Montreal, QC, H9S 3H3, CA",abuse@bell.ca,+1-877-877-2426
1.0.128.0,1.0.191.255,4,TOT Public Company Limited,0.0242 (Elevated),tot.co.th,isp,APNIC,CNC-FJFZ-MINTAI-NETBAR,ABUSE TOTTH,"TOT Public Company Limited, 89/2 Moo 3 Chaengwattana Rd, Laksi,Bangkok 10210 THAILAND",abuse@totisp.net,+000000000
1.0.128.0,1.0.255.255,4,Telfy Telecom S.L.,0 (Very Low),telfytelecom.es,isp,RIPE,MSEDotnet-TMNET,Pablo Dapena,"Avda. De la Constituci*n, 9, 03158, Catral, SPAIN",abuse@telfy.com,+34902006966
1.0.192.0,1.0.255.255,4,TOT Public Company Limited,0.0254 (Elevated),tot.co.th,isp,APNIC,CNC-FJFZ-MINTAI-NETBAR,ABUSE TOTTH,"TOT Public Company Limited, 89/2 Moo 3 Chaengwattana Rd, Laksi,Bangkok 10210 THAILAND",abuse@totisp.net,+000000000
1.1.0.0,1.1.0.255,4,CHINANET FUJIAN PROVINCE NETWORK,0 (Very Low),chinatelecom.cn,isp,APNIC,WANEC-1531,ABUSE CHINANETCN,"No.31 ,jingrong street,beijing, 100032",anti-spam@chinatelecom.cn,+000000000
1.1.1.0,1.1.1.255,4,dongwan city,0.0273 (Elevated),chinaunicom.cn,business,APNIC,SINGTEL-FIBRE-42-60-53-0,TECH GROUP CNC,"9/F, Building A, Corporate Square, No. 35 Financial Street, Xicheng District, Beijing 100032, P.R.China",zhaoyz3@chinaunicom.cn,+86-10-88093588
1.1.2.0,1.1.3.255,4,CHINANET FUJIAN PROVINCE NETWORK,0 (Very Low),chinatelecom.cn,isp,APNIC,WANEC-1531,ABUSE CHINANETCN,"No.31 ,jingrong street,beijing, 100032",anti-spam@chinatelecom.cn,+000000000
1.1.4.0,1.1.7.255,4,CHINANET FUJIAN PROVINCE NETWORK,0 (Very Low),chinatelecom.cn,isp,APNIC,WANEC-1531,ABUSE CHINANETCN,"No.31 ,jingrong street,beijing, 100032",anti-spam@chinatelecom.cn,+000000000
1.1.8.0,1.1.8.255,4,HA ZZ BJSDHDXXJSYXG CORP,0 (Very Low),chinaunicom.cn,business,APNIC,InnovexHoldings-by-AWN,Wei Wang,"#55 San Quan Road, Zhengzhou, Henan Provice",zhaoyz3@chinaunicom.cn,+86-371-65952358
1.1.9.0,1.1.15.255,4,CHINANET Guangdong province network,0 (Very Low),chinatelecom.cn,isp,APNIC,ESCAPEUU2,IPMASTER CHINANET-GD,"NO.18,RO. ZHONGSHANER,YUEXIU DISTRIC,GUANGZHOU",anti-spam@chinatelecom.cn,+86-20-87189274
1.1.16.0,1.1.31.255,4,CHINANET Guangdong province network,0 (Very Low),chinatelecom.cn,isp,APNIC,ESCAPEUU2,IPMASTER CHINANET-GD,"NO.18,RO. ZHONGSHANER,YUEXIU DISTRIC,GUANGZHOU",anti-spam@chinatelecom.cn,+86-20-87189274
1.1.32.0,1.1.63.255,4,CHINANET Guangdong province network,0 (Very Low),chinatelecom.cn,isp,APNIC,ESCAPEUU2,IPMASTER CHINANET-GD,"NO.18,RO. ZHONGSHANER,YUEXIU DISTRIC,GUANGZHOU",anti-spam@chinatelecom.cn,+86-20-87189274
1.1.64.0,1.1.64.255,4,Otsuka Corporaion,0 (Very Low),otsuka.co.jp,business,JPNIC,NAUTILUSMINERALSPACIFIC,,,,
1.1.64.0,1.1.127.255,4,Otsuka Corporaion,0.0002 (Very Low),otsuka.co.jp,business,JPNIC,NHNKCP-KR,,,,
1.1.65.0,1.1.65.255,4,Otsuka Corporaion,0 (Very Low),otsuka.co.jp,business,JPNIC,NAUTILUSMINERALSPACIFIC,,,,
1.1.66.0,1.1.66.255,4,Otsuka Corporaion,0 (Very Low),otsuka.co.jp,business,JPNIC,NAUTILUSMINERALSPACIFIC,,,,
1.1.67.0,1.1.67.255,4,Otsuka Corporaion,0 (Very Low),otsuka.co.jp,business,JPNIC,NAUTILUSMINERALSPACIFIC,,,,
1.1.68.0,1.1.68.255,4,Otsuka Corporaion,0 (Very Low),otsuka.co.jp,business,JPNIC,NAUTILUSMINERALSPACIFIC,,,,
1.1.69.0,1.1.69.255,4,Otsuka Corporaion,0 (Very Low),otsuka.co.jp,business,JPNIC,NAUTILUSMINERALSPACIFIC,,,,
1.1.70.0,1.1.70.255,4,Otsuka Corporaion,0 (Very Low),otsuka.co.jp,business,JPNIC,NAUTILUSMINERALSPACIFIC,,,,
1.1.71.0,1.1.71.255,4,Otsuka Corporaion,0 (Very Low),otsuka.co.jp,business,JPNIC,NAUTILUSMINERALSPACIFIC,,,,
1.1.72.0,1.1.72.255,4,Otsuka Corporaion,0 (Very Low),otsuka.co.jp,business,JPNIC,NAUTILUSMINERALSPACIFIC,,,,
1.1.73.0,1.1.73.255,4,Otsuka Corporaion,0 (Very Low),otsuka.co.jp,business,JPNIC,NAUTILUSMINERALSPACIFIC,,,,
1.1.74.0,1.1.74.255,4,Otsuka Corporaion,0 (Very Low),otsuka.co.jp,business,JPNIC,NAUTILUSMINERALSPACIFIC,,,,
1.1.75.0,1.1.75.255,4,Otsuka Corporaion,0 (Very Low),otsuka.co.jp,business,JPNIC,NAUTILUSMINERALSPACIFIC,,,,
1.1.76.0,1.1.76.255,4,Otsuka Corporaion,0 (Very Low),otsuka.co.jp,business,JPNIC,NAUTILUSMINERALSPACIFIC,,,,
1.1.77.0,1.1.77.255,4,Otsuka Corporaion,0 (Very Low),otsuka.co.jp,business,JPNIC,NAUTILUSMINERALSPACIFIC,,,,
1.1.78.0,1.1.78.255,4,Otsuka Corporaion,0 (Very Low),otsuka.co.jp,business,JPNIC,NAUTILUSMINERALSPACIFIC,,,,
1.1.79.0,1.1.79.255,4,Otsuka Corporaion,0 (Very Low),otsuka.co.jp,business,JPNIC,NAUTILUSMINERALSPACIFIC,,,,
1.1.80.0,1.1.80.255,4,Otsuka Corporaion,0 (Very Low),otsuka.co.jp,business,JPNIC,NAUTILUSMINERALSPACIFIC,,,,
1.1.81.0,1.1.81.255,4,Otsuka Corporaion,0 (Very Low),otsuka.co.jp,business,JPNIC,NAUTILUSMINERALSPACIFIC,,,,
1.1.82.0,1.1.82.255,4,Otsuka Corporaion,0 (Very Low),otsuka.co.jp,business,JPNIC,NAUTILUSMINERALSPACIFIC,,,,
1.1.83.0,1.1.83.255,4,Otsuka Corporaion,0 (Very Low),otsuka.co.jp,business,JPNIC,NAUTILUSMINERALSPACIFIC,,,,
1.1.84.0,1.1.84.255,4,Otsuka Corporaion,0 (Very Low),otsuka.co.jp,business,JPNIC,NAUTILUSMINERALSPACIFIC,,,,
1.1.85.0,1.1.85.255,4,Otsuka Corporaion,0 (Very Low),otsuka.co.jp,business,JPNIC,NAUTILUSMINERALSPACIFIC,,,,
1.1.86.0,1.1.86.255,4,Otsuka Corporaion,0 (Very Low),otsuka.co.jp,business,JPNIC,NAUTILUSMINERALSPACIFIC,,,,
1.1.87.0,1.1.87.255,4,Otsuka Corporaion,0 (Very Low),otsuka.co.jp,business,JPNIC,NAUTILUSMINERALSPACIFIC,,,,
1.1.88.0,1.1.88.255,4,Otsuka Corporaion,0 (Very Low),otsuka.co.jp,business,JPNIC,NAUTILUSMINERALSPACIFIC,,,,
1.1.89.0,1.1.89.255,4,Otsuka Corporaion,0 (Very Low),otsuka.co.jp,business,JPNIC,NAUTILUSMINERALSPACIFIC,,,,
1.1.90.0,1.1.90.255,4,Otsuka Corporaion,0 (Very Low),otsuka.co.jp,business,JPNIC,NAUTILUSMINERALSPACIFIC,,,,
1.1.91.0,1.1.91.255,4,Otsuka Corporaion,0 (Very Low),otsuka.co.jp,business,JPNIC,NAUTILUSMINERALSPACIFIC,,,,
1.1.92.0,1.1.92.255,4,Otsuka Corporaion,0 (Very Low),otsuka.co.jp,business,JPNIC,NAUTILUSMINERALSPACIFIC,,,,
1.1.93.0,1.1.93.255,4,Otsuka Corporaion,0 (Very Low),otsuka.co.jp,business,JPNIC,NAUTILUSMINERALSPACIFIC,,,,
1.1.94.0,1.1.94.255,4,Otsuka Corporaion,0 (Very Low),otsuka.co.jp,business,JPNIC,NAUTILUSMINERALSPACIFIC,,,,
1.1.95.0,1.1.95.255,4,Otsuka Corporaion,0 (Very Low),otsuka.co.jp,business,JPNIC,NAUTILUSMINERALSPACIFIC,,,,
1.1.96.0,1.1.96.255,4,Otsuka Corporaion,0 (Very Low),otsuka.co.jp,business,JPNIC,HNS-IPv6-Block-2401-4800-b09e-48,,,,
1.1.97.0,1.1.97.255,4,Otsuka Corporaion,0 (Very Low),otsuka.co.jp,business,JPNIC,HNS-IPv6-Block-2401-4800-b09e-48,,,,
1.1.98.0,1.1.98.255,4,Otsuka Corporaion,0 (Very Low),otsuka.co.jp,business,JPNIC,HNS-IPv6-Block-2401-4800-b09e-48,,,,
1.1.99.0,1.1.99.255,4,Otsuka Corporaion,0 (Very Low),otsuka.co.jp,business,JPNIC,HNS-IPv6-Block-2401-4800-b09e-48,,,,
1.1.100.0,1.1.100.255,4,Otsuka Corporaion,0 (Very Low),otsuka.co.jp,business,JPNIC,HNS-IPv6-Block-2401-4800-b09e-48,,,,
